"filename", "language", "JSON", "JavaScript JSX", "JavaScript", "CSS", "Properties", "Markdown", "HTML", "comment", "blank", "total"
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\admin\pages\users\UserDetail.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\admin\pages\users\UserList.jsx", "JavaScript JSX", 0, 157, 0, 0, 0, 0, 0, 4, 30, 191
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\admin\pages\workshops\WorkshopDetails.jsx", "JavaScript JSX", 0, 105, 0, 0, 0, 0, 0, 2, 33, 140
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\admin\pages\workshops\WorkshopList.jsx", "JavaScript JSX", 0, 99, 0, 0, 0, 0, 0, 0, 14, 113
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\app\store.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 2, 28
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\assets\animated\aboutus.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\assets\animated\appointment.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\assets\animated\bikerun.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\assets\animated\blogs.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\assets\animated\checkDetails.jsx.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\assets\animated\createBlog.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\assets\animated\fiveStar.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\assets\animated\maintain.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\assets\animated\mechanic.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\assets\animated\newArrivalBadge.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\assets\animated\orderShipping.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\assets\animated\payment.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\assets\animated\ratingProduct.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\assets\animated\redAlert.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\fyp_bikezone\fyp_bikezone\bikezone_fe\src\assets\animated\reviewedProducts.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
